0,reaction_time,key,word,freq
0,3.5492634000256658,l,verke,none
1,0.9600128999445587,a,gedaan,HF
2,0.8655891999369487,a,zeg,HF
3,1.1395019000628963,l,sfinxen,LF
4,1.2207355999853462,l,plond,none
5,1.0322236000793055,l,gewunnen,none
6,0.8631614999612793,a,rogge,LF
7,0.9112551999278367,l,liek,none
8,0.8794497000053525,a,help,HF
9,0.9341224000090733,l,nef,none
10,0.8966158999828622,a,gemaakt,HF
11,1.3248201999813318,l,lanen,LF
12,0.9258787001017481,a,ogen,HF
13,0.9569299999857321,a,hard,HF
14,0.823401500005275,a,eigen,HF
15,0.7640529999043792,a,had,HF
16,0.7731983000412583,l,kormel,none
17,0.8111319000599906,l,leumen,none
18,1.088109100004658,l,ploe,none
19,0.8431765000568703,l,pirrel,none
20,0.8120482000522316,a,ging,HF
21,0.7414446000475436,a,plan,HF
22,0.8165555999148637,l,pectars,none
23,0.6825807000277564,a,idee,HF
24,0.8711241000564769,a,imams,LF
25,0.7633633998921141,a,zoek,HF
26,0.7937221000902355,l,rafel,LF
27,1.245160400052555,a,soort,HF
28,1.0499647998949513,a,clusters,LF
29,1.8394409000175074,l,ant,none
30,1.3345430000917986,l,stiraal,none
31,1.6272873999550939,l,lijsters,LF
32,0.9383464999264106,l,murselein,none
33,1.2086351999314502,l,klaap,none
34,0.9694012000691146,l,kumus,none
35,0.7149873001035303,a,hen,HF
36,1.0293442000402138,l,vlorken,none
37,1.1086079999804497,l,gefruld,none
38,1.9995298000285402,l,wrongel,LF
39,1.3023465999867767,a,stekken,LF
40,0.7790364000247791,l,zerder,none
41,0.8800677000544965,a,hield,HF
42,1.1212016000645235,l,gevupt,none
43,0.7463988000527024,a,vallen,HF
44,0.7658343000803143,a,herken,none
45,0.8880698999855667,l,groeken,none
46,0.966433799942024,l,zelijk,none
47,0.7405169000849128,a,auto,HF
48,0.8371239999542013,l,spodiel,none
49,0.7631136999698356,a,beitels,LF
50,0.905305500025861,l,nammer,none
51,0.8264570999890566,l,grantel,none
52,0.8298433000454679,a,bonkte,LF
53,0.9905533000128344,l,vebras,none
54,0.7451817999826744,a,giep,none
55,1.324969100067392,a,rastel,none
56,0.7428013000171632,a,gevels,LF
57,1.3375094999792054,a,moeder,HF
58,1.3284893000964075,l,spurt,LF
59,0.7122581000439823,a,wachten,HF
60,1.9844506001099944,a,stram,LF
61,1.299785399925895,l,drintels,none
62,0.7054918999783695,a,ambten,LF
63,0.6767094999086112,a,los,HF
64,0.632553800009191,a,gisten,LF
65,0.673304200056009,a,polders,LF
66,0.6953017999185249,l,fradingo,none
67,0.8025934000033885,l,rieve,none
68,0.6785278000170365,l,pals,none
69,0.7627575000515208,a,plaats,HF
70,1.322556000086479,l,hormen,none
71,0.6934763999888673,l,millag,none
72,0.7956237000180408,l,grief,LF
73,1.2918035000329837,a,gietsen,none
74,0.7116640999447554,a,reigers,LF
75,0.6633498999290168,a,recht,HF
76,0.6372666000388563,l,topaas,LF
77,0.6592324000084773,a,buidels,LF
78,0.6912373999366537,l,breent,none
79,0.7025623000226915,l,prookt,none
80,0.9851335000712425,l,ponten,LF
81,0.6103596999309957,a,wakker,HF
82,0.7753351000137627,l,glaf,none
83,0.8259794999612495,l,plenk,none
84,0.7502368000568822,l,entel,none
85,0.8076618000632152,l,mijk,none
86,0.5952307999832556,a,werd,HF
87,0.9174706999910995,l,pruit,none
88,0.7653741999529302,l,darboen,none
89,0.6074752999702469,a,open,HF
90,0.8807029000017792,l,bezans,none
91,0.8397415999788791,l,bluit,none
92,0.8011009999318048,l,geslonden,none
93,1.925883400021121,l,doppel,none
94,0.6027631999459118,a,uur,HF
95,0.9327126999851316,l,kabrieken,none
96,1.1257639999967068,l,kuukt,none
97,1.0998802999965847,a,labber,none
98,0.8276676000095904,a,venkel,LF
99,0.6884066000347957,a,morgen,HF
100,0.8563502000179142,a,gonsde,LF
101,0.822608400019817,l,gals,none
102,0.8041259000310674,a,boek,HF
103,0.8267469999846071,l,monen,none
104,0.9576138000702485,l,flans,LF
105,0.8977670000167564,a,geweest,HF
106,1.196462000021711,l,sluinen,none
107,1.7323527000844479,l,klaam,none
108,0.7121966999256983,a,baby,HF
109,0.603565700002946,a,krijg,HF
110,0.6244241000385955,l,grede,none
111,0.620815199916251,a,vraag,HF
112,0.7032607999863103,l,zolders,LF
113,1.804304699995555,l,brum,none
